id,name,description
f2bea0e2-73c0-4d58-89e4-2d61f59424f5,Tomato,"Fresh red vegetable, used in salads, sauces"
c0ac9074-6434-422f-87b6-6cb85e853cb4,Garlic,"Pungent aromatic bulb, used in many cuisines"
2aa17ede-a10e-407f-8feb-41d0cc54dc7a,Chicken Breast,"Lean white meat, versatile for grilling, baking"
ab70cc29-3c38-4990-aacb-da019ba11dd1,Olive Oil,"Mediterranean oil, used for cooking and dressings"
1bb34aa2-e426-46e9-a518-d44fb6b419e5,Basil,"Fresh aromatic herb, often used in Italian dishes"
5c7fc23a-188d-4a53-9325-21ccef62d808,Onion,"Pungent bulb, used in stews, soups, and stir-fries"
5ef015e6-ac66-49a6-bc8a-d91c5ea037e3,Carrot,"Sweet crunchy root, great in salads, soups, and stews"
b5b94f34-17ee-4324-b5aa-377619ec67fc,Potato,"Starchy tuber, versatile for mashing, baking, or frying"
8078633e-f337-40ad-828f-f545c3fb9503,Salt,Essential seasoning used across all cuisines
b463be3b-0e4f-4256-8702-6af84474bb96,Black Pepper,"Spicy seasoning, often paired with salt"
8cf37f89-0b9b-409f-9c1c-e0db03666966,Egg,"Protein-rich, used in baking, cooking, and breakfast dishes"
83d8df76-37b0-43f9-9f3b-dde96f2ab8c8,Milk,"Dairy product used in baking, drinks, and sauces"
7698a6b3-c0a2-48aa-af8c-be363a26023e,Cheddar Cheese,"Sharp yellow cheese, common in sandwiches and casseroles"
f383e75c-cee2-4445-88de-922311c86037,Butter,"Dairy fat, used for cooking, baking, and spreading"
5d6b881a-bcff-4e92-84bc-935578fdb8d9,Flour,"Wheat-based powder, essential for baking and thickening"
709364bc-514e-4559-a8ec-ea71468dc891,Sugar,Sweetener used in desserts and drinks
ec91d02e-e3f6-485e-b833-736251b98460,Rice,"Staple grain, served steamed, fried, or as risotto"
71f878bb-a083-41d8-b81c-8b3b2abf6e9d,Pasta,"Italian wheat product, comes in many shapes for sauces"
0540f760-856d-455b-b8cc-ea7959723c19,Ground Beef,"Minced beef, used in burgers, meatballs, and sauces"
f1fe8e4c-494e-42c1-9db0-7ad42a28bfee,Salmon,"Rich oily fish, often baked, grilled, or smoked"
60c5638c-28fa-4b5e-976a-11c6de1ab517,Spinach,"Leafy green, used in salads, quiches, and sautés"
